# type_map_central.csv -- source cluster/annotation -> MaleCNS v1.0 type, for the two central-brain single-cell atlases.
# sources: davie2018 = Davie et al. 2018 Cell 174:982 (GEO GSE107451, 57k-cell 10x metadata `annotation`; Table S2 = mmc2.xlsx);
#          fca2022 = Li et al. 2022 Science 375:eabk2432, Fly Cell Atlas head 10x stringent loom col_attrs/annotation (FBbt terms).
# tier: exact = source label (or its type token) is a MaleCNS type name; alias = documented synonym of one type; fuzzy = the label names a
#       family that MaleCNS splits into several types, selected by the name rule in `rule` (re:regex | list:A|B); class = the label is a cell
#       class, MaleCNS side selected by class/subclass/nt columns or a curated list (`rule`); unmatched = no evidenced correspondence.
# One row per (source_name, malecns_type). n_cells_malecns = MaleCNS cells of that type; n_cells_source = cells/nuclei in the source cluster.
# Sex: davie2018 is mixed-sex (male 27,854 / female 29,048), fca2022 head is mixed (male 47,409 / female 49,105 / mix 4,013); MaleCNS is male.
# Built by scratchpad/build_central_map.py (session 10 NT integration workflow, source key central).
source,source_name,malecns_type,tier,evidence,n_cells_malecns,n_cells_source,rule
davie2018,A/B*-KC,KCa'b'-ap2,fuzzy,"Table S2 res2 cluster 28 ""a'/b'-KC"" (Medioni 2014); trio 1.90, DAT 1.52 (alpha'/beta' KCs express DAT); rule ^KCa'b'",291,518,re:^KCa'b'
davie2018,A/B*-KC,KCa'b'-m,fuzzy,"Table S2 res2 cluster 28 ""a'/b'-KC"" (Medioni 2014); trio 1.90, DAT 1.52 (alpha'/beta' KCs express DAT); rule ^KCa'b'",205,518,re:^KCa'b'
davie2018,PAM,PAM01,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",44,222,re:^PAM\d\d$
davie2018,PAM,PAM02,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",17,222,re:^PAM\d\d$
davie2018,PAM,PAM03,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",12,222,re:^PAM\d\d$
davie2018,PAM,PAM04,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",32,222,re:^PAM\d\d$
davie2018,PAM,PAM05,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",20,222,re:^PAM\d\d$
davie2018,PAM,PAM06,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",28,222,re:^PAM\d\d$
davie2018,PAM,PAM07,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",14,222,re:^PAM\d\d$
davie2018,PAM,PAM08,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",50,222,re:^PAM\d\d$
davie2018,PAM,PAM09,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",9,222,re:^PAM\d\d$
davie2018,PAM,PAM10,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",15,222,re:^PAM\d\d$
davie2018,PAM,PAM11,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",15,222,re:^PAM\d\d$
davie2018,PAM,PAM12,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",22,222,re:^PAM\d\d$
davie2018,PAM,PAM13,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",16,222,re:^PAM\d\d$
davie2018,PAM,PAM14,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",18,222,re:^PAM\d\d$
davie2018,PAM,PAM15,fuzzy,"Table S2 subcluster of 42 'PAM (Fer2(+)) neurons' (Bou Dib 2014); ple 3.17, DAT 4.12, Fer2 1.56; rule ^PAM\d\d",4,222,re:^PAM\d\d$
davie2018,Dopaminergic,ATL031,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,AVLP476,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,AVLP610,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,DPM,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,ExR2,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB1C,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB1H,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB2A,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB4L,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB4M,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,FB5H,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,LAL128,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,LoVC18,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,LoVC22,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL101,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL102,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL103,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL104,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL105,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL106,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL107,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL108,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL201,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL202,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPL204,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPM1201,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPM1202,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",4,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPM1203,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,PPM1205,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Dopaminergic,SIP106m,class,"Table S2 res2 cluster 42 'Dopaminergic' minus the PAM subcluster (= 'Fer2(-) neurons'); ple 3.35, DAT 3.33, Fer2 0.36; MaleCNS side = consensus nt dopamine, non-PAM, non-VNC (PPL1/PPL2/PPM/PAL and other DA types)",2,125,"query:nt == 'dopamine' and not type.str.match('^PAM') and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,5-HTPMPD01,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,5-HTPMPV01,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,5-HTPMPV03,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,ATL032,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,ATL042,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,AVLP532,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,CB1009,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,CB1026,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",10,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,CB4246,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,CL344_a,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
davie2018,Serotonergic,CL357,class,"Table S2 res2 cluster 38 'Serotonergic' (Couch 2004); SerT 1.26, Trh 1.80; MaleCNS side = consensus nt serotonin, non-VNC (NT-defined class, not a type match)",2,391,"query:nt == 'serotonin' and superclass in ['cb_intrinsic','cb_sensory','cb_endocrine','cb_motor','visual_centrifugal','visual_projection','ol_intrinsic','descending_neuron']"
