# Davis et al. 2020 eLife 9:e50901 (GEO GSE116969; supp. file 1A) cell-type names -> MaleCNS v1.0 types. tier: exact = same name, no rename found; alias = documented 1:1 rename; fuzzy = one source pooled over several MaleCNS subtypes or a combo driver (rule in evidence); class = broad driver / whole-tissue reference matched to an NT class, a superclass (malecns_type gives the selector) or a named peptide population (Pdf, Ilp2, Crz, Dsk, NPF); unmatched = no MaleCNS counterpart. qc: pass = Davis QC-pass samples (tables 4 / 7b); suboptimal_only = Davis marked every sample of that driver 'suboptimal' (expression from table 3 sample means, no p_on). n_cells_malecns / out_syn_malecns from cache/neurons.parquet + W_post_pre.npz (|W| column sums; sign-0 presynaptic cells count 0). malecns_nt = majority model NT label; davis_nt_call / davis_nt_secondary = transmitter class(es) from the synthesis / transport genes (rule in the expression table header). Built by scripts/build_davis2020_tables.py (round 2 of the NT-integration workflow, docs/NT_INTEGRATION.md section 7).
source_name,malecns_type,tier,evidence,n_cells_malecns,qc,malecns_superclass,malecns_nt,out_syn_malecns,davis_nt_call,davis_nt_secondary
LC10b,LC10b,exact,"same type name in Davis 2020 (supp. file 1A, driver SS03723) and MaleCNS v1.0; MaleCNS flywireType = LC10b",95,pass,visual_projection,acetylcholine,36898,acetylcholine,
LC16,LC16,exact,"same type name in Davis 2020 (supp. file 1A, driver OL0046B;OL0092C) and MaleCNS v1.0; MaleCNS flywireType = LC16",182,pass,visual_projection,acetylcholine,116249,acetylcholine,
LC4,LC4,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00766) and MaleCNS v1.0; MaleCNS flywireType = LC4",126,pass,visual_projection,acetylcholine,144613,acetylcholine,
LC6,LC6,exact,"same type name in Davis 2020 (supp. file 1A, driver OL0070B;OL0218B) and MaleCNS v1.0; MaleCNS flywireType = LC6",124,pass,visual_projection,acetylcholine,77898,acetylcholine,
LLPC1,LLPC1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02437) and MaleCNS v1.0; MaleCNS flywireType = LLPC1",285,pass,visual_projection,acetylcholine,172299,acetylcholine,
LPC1,LPC1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02575;SS02700) and MaleCNS v1.0; MaleCNS flywireType = LPC1",224,pass,visual_projection,acetylcholine,119941,acetylcholine,
LPLC1,LPLC1,exact,"same type name in Davis 2020 (supp. file 1A, driver OL0029B) and MaleCNS v1.0; MaleCNS flywireType = LPLC1",134,pass,visual_projection,acetylcholine,133519,acetylcholine,
LPLC2,LPLC2,exact,"same type name in Davis 2020 (supp. file 1A, driver OL0048B) and MaleCNS v1.0; MaleCNS flywireType = LPLC2",185,pass,visual_projection,acetylcholine,186652,acetylcholine,
Mi1,Mi1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00809) and MaleCNS v1.0; MaleCNS flywireType = Mi1",1773,pass,ol_intrinsic,acetylcholine,2406777,acetylcholine,
Mi15,Mi15,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00321;SS02425) and MaleCNS v1.0; MaleCNS flywireType = Mi15",1151,pass,ol_intrinsic,acetylcholine,323996,acetylcholine,dopamine
Mi4,Mi4,exact,"same type name in Davis 2020 (supp. file 1A, driver SS01019) and MaleCNS v1.0; MaleCNS flywireType = Mi4",1772,pass,ol_intrinsic,gaba,908716,gaba,
Mi9,Mi9,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02432;SS02448) and MaleCNS v1.0; MaleCNS flywireType = Mi9",1775,pass,ol_intrinsic,glutamate,855103,glutamate,gaba
T1,T1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00790) and MaleCNS v1.0; MaleCNS flywireType = T1",1777,pass,ol_intrinsic,histamine,7372,none,
Tm1,Tm1,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00796) and MaleCNS v1.0; MaleCNS flywireType = Tm1",1777,pass,ol_intrinsic,acetylcholine,1724891,acetylcholine,
Tm2,Tm2,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00811) and MaleCNS v1.0; MaleCNS flywireType = Tm2",1766,pass,ol_intrinsic,acetylcholine,1167723,acetylcholine,
Tm20,Tm20,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00355) and MaleCNS v1.0; MaleCNS flywireType = Tm20",1762,pass,ol_intrinsic,acetylcholine,574407,acetylcholine,
Tm3,Tm3,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00300) and MaleCNS v1.0; MaleCNS flywireType = Tm3",2054,pass,ol_intrinsic,acetylcholine,1570534,acetylcholine,
Tm4,Tm4,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00320) and MaleCNS v1.0; MaleCNS flywireType = Tm4",1670,pass,ol_intrinsic,acetylcholine,1146459,acetylcholine,
Tm9,Tm9,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00307) and MaleCNS v1.0; MaleCNS flywireType = Tm9",1771,pass,ol_intrinsic,acetylcholine,360617,acetylcholine,
TmY3,TmY3,exact,"same type name in Davis 2020 (supp. file 1A, driver SS00331) and MaleCNS v1.0; MaleCNS flywireType = TmY3",824,pass,ol_intrinsic,acetylcholine,344805,acetylcholine,
TmY5a,TmY5a,exact,"same type name in Davis 2020 (supp. file 1A, driver SS02594) and MaleCNS v1.0; MaleCNS flywireType = TmY5a",1364,pass,ol_intrinsic,glutamate,712606,glutamate,gaba
LC10d,LC10d,exact,"same type name in Davis 2020 (supp. file 1A, driver SS03822) and MaleCNS v1.0; MaleCNS flywireType = LC10d",214,suboptimal_only,visual_projection,acetylcholine,177536,acetylcholine,glutamate
Pm3,Pm3,exact,"same name; Davis driver SS00328 identified by 'Cell type description: Nern et al 2015'; Nern et al. 2025 (same annotator) kept the Nern-2015 Pm1-Pm4 names (Pm2 split into Pm2a/b); MaleCNS flywireType = Pm09 (FlyWire renumbered Pm types, so the FlyWire name is NOT a check here)",69,pass,ol_intrinsic,gaba,232585,gaba,glutamate
Pm4,Pm4,exact,same name; Davis driver SS00317 identified by 'Cell type description: Nern et al 2015'; Nern et al. 2025 kept the Nern-2015 Pm names; MaleCNS flywireType = Pm05 (FlyWire renumbered Pm types),168,pass,ol_intrinsic,gaba,354340,gaba,
Tm29,Tm29,exact,"type first named in Davis 2020 supp. 1A ('Tentatively named Tm29', driver SS00308, Tm5b-like multicolumnar); MaleCNS keeps the name Tm29 (flywireType Tm5d)",544,pass,ol_intrinsic,glutamate,159931,glutamate,
LPi-34,LPi34,alias,hyphen dropped; Davis driver SS03656 'Cell type description: Maus et al 2015' (LPi3-4 = lobula-plate intrinsic layer 3->4); MaleCNS LPi34 (flywireType LPi09),119,pass,ol_intrinsic,glutamate,69322,glutamate,
R1-6,R1-R6,alias,Davis 'R1-6' (ninaEfl-GAL4 = Rh1 outer photoreceptors) = MaleCNS 'R1-R6' (flywireType R1-6),3377,pass,ol_sensory,histamine,248839,histamine,
R8_Rh5,R8p,alias,"Davis R8_Rh5 (BL-7458, Rh5-GAL4) = pale R8; MaleCNS R8p (pale). Excludes R8_unclear (442 cells) and R8d (DRA R8 express Rh3, not Rh5)",330,pass,ol_sensory,histamine,60298,histamine,acetylcholine
R8_Rh6,R8y,alias,"Davis R8_Rh6 (BL-7464, Rh6-GAL4) = yellow R8; MaleCNS R8y (yellow). Excludes R8_unclear (442 cells)",481,pass,ol_sensory,histamine,84125,histamine,acetylcholine
R7,R7p,fuzzy,"rule: Davis R7 driver BL-8604 pools 'R7: Rh3 expressing, R7: Rh4 expressing' (+ dorsal-rim R8 per supp. 1A) -> every MaleCNS R7 subtype (pale R7p = Rh3, yellow R7y = Rh4, DRA R7d = Rh3); R7_unclear (404 cells) excluded because it may contain R8 fragments",332,pass,ol_sensory,histamine,47957,histamine,acetylcholine
R7,R7y,fuzzy,"rule: Davis R7 driver BL-8604 pools 'R7: Rh3 expressing, R7: Rh4 expressing' (+ dorsal-rim R8 per supp. 1A) -> every MaleCNS R7 subtype (pale R7p = Rh3, yellow R7y = Rh4, DRA R7d = Rh3); R7_unclear (404 cells) excluded because it may contain R8 fragments",482,pass,ol_sensory,histamine,62534,histamine,acetylcholine
R7,R7d,fuzzy,"rule: Davis R7 driver BL-8604 pools 'R7: Rh3 expressing, R7: Rh4 expressing' (+ dorsal-rim R8 per supp. 1A) -> every MaleCNS R7 subtype (pale R7p = Rh3, yellow R7y = Rh4, DRA R7d = Rh3); R7_unclear (404 cells) excluded because it may contain R8 fragments",82,pass,ol_sensory,histamine,16809,histamine,acetylcholine
R7_Rh3,R7p,fuzzy,rule: Rh3-GAL4 (BL-7457) labels pale R7 and DRA R7 (both Rh3); QC-fail samples only,332,suboptimal_only,ol_sensory,histamine,47957,histamine,acetylcholine
R7_Rh3,R7d,fuzzy,rule: Rh3-GAL4 (BL-7457) labels pale R7 and DRA R7 (both Rh3); QC-fail samples only,82,suboptimal_only,ol_sensory,histamine,16809,histamine,acetylcholine
T4,T4a,fuzzy,"rule: Davis T4 drivers SS02344 / SS23866 label all T4 but supp. 1A records both as 'T4: strongest in T4b,T4c' -> the pooled profile is SUBTYPE-BIASED towards T4b / T4c when used per subtype; the a-d subtypes are split by lobula-plate layer in the EM; source name is the prefix of the MaleCNS subtype names",1684,pass,ol_intrinsic,acetylcholine,514588,acetylcholine,
T4,T4b,fuzzy,"rule: Davis T4 drivers SS02344 / SS23866 label all T4 but supp. 1A records both as 'T4: strongest in T4b,T4c' -> the pooled profile is SUBTYPE-BIASED towards T4b / T4c when used per subtype; the a-d subtypes are split by lobula-plate layer in the EM; source name is the prefix of the MaleCNS subtype names",1690,pass,ol_intrinsic,acetylcholine,452934,acetylcholine,
T4,T4c,fuzzy,"rule: Davis T4 drivers SS02344 / SS23866 label all T4 but supp. 1A records both as 'T4: strongest in T4b,T4c' -> the pooled profile is SUBTYPE-BIASED towards T4b / T4c when used per subtype; the a-d subtypes are split by lobula-plate layer in the EM; source name is the prefix of the MaleCNS subtype names",1778,pass,ol_intrinsic,acetylcholine,558128,acetylcholine,
T4,T4d,fuzzy,"rule: Davis T4 drivers SS02344 / SS23866 label all T4 but supp. 1A records both as 'T4: strongest in T4b,T4c' -> the pooled profile is SUBTYPE-BIASED towards T4b / T4c when used per subtype; the a-d subtypes are split by lobula-plate layer in the EM; source name is the prefix of the MaleCNS subtype names",1709,pass,ol_intrinsic,acetylcholine,457982,acetylcholine,
T5,T5a,fuzzy,"rule: Davis T5 cell mean pools SS25175 ('T5: strongest in T5c and T5d', 'some weakly labeled T4 cells') and SS23757 ('T5: mainly T5a and T5b', 'some weakly labeled T4 cells') -> the pooled profile is SUBTYPE-BIASED (each driver favours two of the four subtypes; weak T4 contamination); prefix rule over T5a-d",1664,pass,ol_intrinsic,acetylcholine,558400,acetylcholine,
T5,T5b,fuzzy,"rule: Davis T5 cell mean pools SS25175 ('T5: strongest in T5c and T5d', 'some weakly labeled T4 cells') and SS23757 ('T5: mainly T5a and T5b', 'some weakly labeled T4 cells') -> the pooled profile is SUBTYPE-BIASED (each driver favours two of the four subtypes; weak T4 contamination); prefix rule over T5a-d",1715,pass,ol_intrinsic,acetylcholine,481902,acetylcholine,
T5,T5c,fuzzy,"rule: Davis T5 cell mean pools SS25175 ('T5: strongest in T5c and T5d', 'some weakly labeled T4 cells') and SS23757 ('T5: mainly T5a and T5b', 'some weakly labeled T4 cells') -> the pooled profile is SUBTYPE-BIASED (each driver favours two of the four subtypes; weak T4 contamination); prefix rule over T5a-d",1720,pass,ol_intrinsic,acetylcholine,581444,acetylcholine,
T5,T5d,fuzzy,"rule: Davis T5 cell mean pools SS25175 ('T5: strongest in T5c and T5d', 'some weakly labeled T4 cells') and SS23757 ('T5: mainly T5a and T5b', 'some weakly labeled T4 cells') -> the pooled profile is SUBTYPE-BIASED (each driver favours two of the four subtypes; weak T4 contamination); prefix rule over T5a-d",1620,pass,ol_intrinsic,acetylcholine,463223,acetylcholine,
T4.T5,T4a,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1684,pass,ol_intrinsic,acetylcholine,514588,acetylcholine,
T4.T5,T4b,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1690,pass,ol_intrinsic,acetylcholine,452934,acetylcholine,
T4.T5,T4c,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1778,pass,ol_intrinsic,acetylcholine,558128,acetylcholine,
T4.T5,T4d,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1709,pass,ol_intrinsic,acetylcholine,457982,acetylcholine,
T4.T5,T5a,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1664,pass,ol_intrinsic,acetylcholine,558400,acetylcholine,
T4.T5,T5b,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1715,pass,ol_intrinsic,acetylcholine,481902,acetylcholine,
T4.T5,T5c,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1720,pass,ol_intrinsic,acetylcholine,581444,acetylcholine,
T4.T5,T5d,fuzzy,"combo driver SS00324 / SS21452 'T4,T5' (supp. 1A); prefix rule over all eight subtypes; the only Davis sample set with separate male / female replicates (T4.T5_d1_male / _female in table 6a)",1620,pass,ol_intrinsic,acetylcholine,463223,acetylcholine,
Dm3,Dm3a,fuzzy,rule: Davis Dm3 driver SS00974 (Nern 2015 Dm3) predates the EM split into Dm3a/b/c (flywireType Dm3p/q/v); prefix rule,1204,pass,ol_intrinsic,glutamate,106540,glutamate,
Dm3,Dm3b,fuzzy,rule: Davis Dm3 driver SS00974 (Nern 2015 Dm3) predates the EM split into Dm3a/b/c (flywireType Dm3p/q/v); prefix rule,1137,pass,ol_intrinsic,glutamate,99438,glutamate,
Dm3,Dm3c,fuzzy,rule: Davis Dm3 driver SS00974 (Nern 2015 Dm3) predates the EM split into Dm3a/b/c (flywireType Dm3p/q/v); prefix rule,787,pass,ol_intrinsic,glutamate,91388,glutamate,
Dm8,Dm8a,fuzzy,rule: Davis Dm8 driver SS00323 (Nern 2015 Dm8) predates the yellow / pale split Dm8a (flywireType yDm8) / Dm8b (pDm8); prefix rule,572,pass,ol_intrinsic,glutamate,162710,glutamate,
Dm8,Dm8b,fuzzy,rule: Davis Dm8 driver SS00323 (Nern 2015 Dm8) predates the yellow / pale split Dm8a (flywireType yDm8) / Dm8b (pDm8); prefix rule,532,pass,ol_intrinsic,glutamate,114276,glutamate,
C2.C3,C2,fuzzy,"combo driver SS00779 'C2,C3' (supp. 1A); pooled expression of two types",1745,pass,ol_intrinsic,gaba,230044,gaba,
C2.C3,C3,fuzzy,"combo driver SS00779 'C2,C3' (supp. 1A); pooled expression of two types",1779,pass,ol_intrinsic,gaba,539977,gaba,
L1.L2,L1,fuzzy,"combo drivers SS00806 / SS00797 'L1,L2' (supp. 1A)",1776,pass,ol_intrinsic,glutamate,589071,glutamate,acetylcholine
L1.L2,L2,fuzzy,"combo drivers SS00806 / SS00797 'L1,L2' (supp. 1A)",1779,pass,ol_intrinsic,acetylcholine,1249022,glutamate,acetylcholine
LC10bc,LC10b,fuzzy,driver SS00940 'LC10bc' (supp. 1A); MaleCNS splits LC10c into LC10c-1 / LC10c-2; QC-fail samples only,95,suboptimal_only,visual_projection,acetylcholine,36898,acetylcholine,
LC10bc,LC10c-1,fuzzy,driver SS00940 'LC10bc' (supp. 1A); MaleCNS splits LC10c into LC10c-1 / LC10c-2; QC-fail samples only,130,suboptimal_only,visual_projection,acetylcholine,82342,acetylcholine,
LC10bc,LC10c-2,fuzzy,driver SS00940 'LC10bc' (supp. 1A); MaleCNS splits LC10c into LC10c-1 / LC10c-2; QC-fail samples only,125,suboptimal_only,visual_projection,acetylcholine,88719,acetylcholine,
Lat,Lat1,fuzzy,"driver SS00657 'Lat' (supp. 1A: R23E12-AD x R55B04-DBD, 'Cell type description: Tuthill et al 2013, Fischbach and Dittrich 1989', driver reference 'Dionne et al in preparation'); MaleCNS has Lat1-Lat5; prefix rule; QC-fail samples only",8,suboptimal_only,visual_centrifugal,unknown,0,glutamate,gaba+histamine+acetylcholine
Lat,Lat2,fuzzy,"driver SS00657 'Lat' (supp. 1A: R23E12-AD x R55B04-DBD, 'Cell type description: Tuthill et al 2013, Fischbach and Dittrich 1989', driver reference 'Dionne et al in preparation'); MaleCNS has Lat1-Lat5; prefix rule; QC-fail samples only",4,suboptimal_only,visual_centrifugal,unknown,0,glutamate,gaba+histamine+acetylcholine
Lat,Lat3,fuzzy,"driver SS00657 'Lat' (supp. 1A: R23E12-AD x R55B04-DBD, 'Cell type description: Tuthill et al 2013, Fischbach and Dittrich 1989', driver reference 'Dionne et al in preparation'); MaleCNS has Lat1-Lat5; prefix rule; QC-fail samples only",8,suboptimal_only,ol_intrinsic,octopamine,0,glutamate,gaba+histamine+acetylcholine
Lat,Lat4,fuzzy,"driver SS00657 'Lat' (supp. 1A: R23E12-AD x R55B04-DBD, 'Cell type description: Tuthill et al 2013, Fischbach and Dittrich 1989', driver reference 'Dionne et al in preparation'); MaleCNS has Lat1-Lat5; prefix rule; QC-fail samples only",2,suboptimal_only,ol_intrinsic,unknown,0,glutamate,gaba+histamine+acetylcholine
Lat,Lat5,fuzzy,"driver SS00657 'Lat' (supp. 1A: R23E12-AD x R55B04-DBD, 'Cell type description: Tuthill et al 2013, Fischbach and Dittrich 1989', driver reference 'Dionne et al in preparation'); MaleCNS has Lat1-Lat5; prefix rule; QC-fail samples only",2,suboptimal_only,visual_centrifugal,unknown,0,glutamate,gaba+histamine+acetylcholine
LPTC_HS.VS,HSN,fuzzy,"driver SS04438 'LPTC HS,VS' (supp. 1A); MaleCNS HSN / HSE / HSS and the pooled type 'VS' (18 cells); HST, VST1/2, VSm not included (not part of the classical HS / VS sets); QC-fail samples only",2,suboptimal_only,visual_projection,acetylcholine,1351,glutamate,gaba+acetylcholine
LPTC_HS.VS,HSE,fuzzy,"driver SS04438 'LPTC HS,VS' (supp. 1A); MaleCNS HSN / HSE / HSS and the pooled type 'VS' (18 cells); HST, VST1/2, VSm not included (not part of the classical HS / VS sets); QC-fail samples only",2,suboptimal_only,visual_projection,acetylcholine,1411,glutamate,gaba+acetylcholine
LPTC_HS.VS,HSS,fuzzy,"driver SS04438 'LPTC HS,VS' (supp. 1A); MaleCNS HSN / HSE / HSS and the pooled type 'VS' (18 cells); HST, VST1/2, VSm not included (not part of the classical HS / VS sets); QC-fail samples only",2,suboptimal_only,visual_projection,acetylcholine,2411,glutamate,gaba+acetylcholine
LPTC_HS.VS,VS,fuzzy,"driver SS04438 'LPTC HS,VS' (supp. 1A); MaleCNS HSN / HSE / HSS and the pooled type 'VS' (18 cells); HST, VST1/2, VSm not included (not part of the classical HS / VS sets); QC-fail samples only",18,suboptimal_only,visual_projection,acetylcholine,8090,glutamate,gaba+acetylcholine
lLNv,l-LNv,alias,"Davis lLNv driver SS00645 (supp. 1A: R61G12-AD x R10H10-DBD, 'Cell type description: Helfrich-Forster et al 2007', driver reference 'a gift from Heather Dionne, Rubin lab') = MaleCNS l-LNv; QC-fail samples only",8,suboptimal_only,ol_intrinsic,serotonin,0,gaba,glutamate+acetylcholine+octopamine
Pdf,l-LNv,class,"Pdf-GAL4 (BL-6900, P{Pdf-GAL4.P2.4}, Park et al 2000) labels the PDF-expressing clock neurons = l-LNv + s-LNv (Helfrich-Forster 2007); QC-fail samples only",8,suboptimal_only,ol_intrinsic,serotonin,0,octopamine,glutamate+gaba
Pdf,s-LNv,class,"Pdf-GAL4 (BL-6900, P{Pdf-GAL4.P2.4}, Park et al 2000) labels the PDF-expressing clock neurons = l-LNv + s-LNv (Helfrich-Forster 2007); QC-fail samples only",8,suboptimal_only,visual_projection,acetylcholine,982,octopamine,glutamate+gaba
Ilp2,IPC,class,"Ilp2-GAL4 (BL-37516, P{Ilp2-GAL4.R}2, Rulifson et al 2002) labels the ~14 insulin-producing cells of the pars intercerebralis = MaleCNS IPC (16 cells, superclass cb_endocrine, hemibrainType 'PI1,PI2,PI3', flywireType IPC); QC-fail samples only",16,suboptimal_only,cb_endocrine,unknown,0,gaba,acetylcholine
Crz,CRZ01,class,"Crz-GAL4 (BL-51977, P{Crz-GAL4.391}4M, Tayler et al 2012) labels the Corazonin neurons (brain: dorsolateral Crz cells; also VNC / abdominal cells outside the head dissection); MaleCNS CRZ01 + CRZ02 (2 + 2 cells, hemibrainType CRZ01 / CRZ02, flywireType 'CRZ01,CRZ02') are the brain Crz types; the driver likely covers more Crz cells than these four",2,pass,cb_intrinsic,serotonin,0,gaba,
Crz,CRZ02,class,"Crz-GAL4 (BL-51977, P{Crz-GAL4.391}4M, Tayler et al 2012) labels the Corazonin neurons (brain: dorsolateral Crz cells; also VNC / abdominal cells outside the head dissection); MaleCNS CRZ01 + CRZ02 (2 + 2 cells, hemibrainType CRZ01 / CRZ02, flywireType 'CRZ01,CRZ02') are the brain Crz types; the driver likely covers more Crz cells than these four",2,pass,cb_intrinsic,serotonin,0,gaba,
Dsk,DSKMP3,class,"Dsk-GAL4 (BL-51981, P{Dsk-GAL4.TH}3M, Asahina & Anderson 2013 FBrf0222772) labels the Drosulfakinin neurons (MP1 / MP3 medial protocerebrum cells, Soderberg 2012 / Wu 2020); MaleCNS DSKMP3 (4 cells, hemibrainType DSKMP3) is the only Dsk-named type (no DSKMP1 type in MaleCNS v1.0); partial; QC-fail samples only",4,suboptimal_only,cb_intrinsic,serotonin,0,acetylcholine,gaba+glutamate
NPF,NPFL1-I,class,"NPF-GAL4 (BL-25681, P{NPF-GAL4.1}2, Wu et al 2003) labels the NPF neurons (brain: dorsomedial, large lateral L1-l and others); MaleCNS NPFL1-I (2 cells, hemibrainType NPFL1-I = the large lateral NPF neuron) is the only NPF-named type; partial (the driver labels ~20 brain NPF cells); round-1 note that NPFL1-I is 'a different, lateral-horn type' withdrawn -- it is the NPF L1-l neuron",2,pass,cb_intrinsic,serotonin,0,acetylcholine,gaba
KC_ab_c,KCab-c,alias,"Davis 'KC a/b c' driver MB594B (Aso 2014) = MaleCNS KCab-c (hemibrainType 'KCab-m,KCab-c,KCab-s' split by MaleCNS)",488,pass,cb_intrinsic,acetylcholine,178993,acetylcholine,
KC_ab_p,KCab-p,alias,Davis 'KC a/b p' driver MB371B = MaleCNS KCab-p (hemibrainType KCab-p),129,pass,cb_intrinsic,acetylcholine,71910,acetylcholine,gaba
KC_ab_s,KCab-s,alias,Davis 'KC a/b s' driver MB185B = MaleCNS KCab-s,657,pass,cb_intrinsic,acetylcholine,306346,acetylcholine,
KC_ab_c.p.s,KCab-c,fuzzy,"combo driver MB008B 'KC a/b c, p, s' (supp. 1A); KCab-m (536 cells) not named by the driver, excluded",488,pass,cb_intrinsic,acetylcholine,178993,acetylcholine,
